parent_notice,ark_periodique,ark,numero,gallica_url,text_brut,ark,date
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196003m,05 avril 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196003m,https://gallica.bnf.fr/ark:/12148/bd6t54196003m.texteBrut,ark:/12148/bd6t54196003m,1924-04-05
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54204716s,12 avril 1924,https://gallica.bnf.fr/ark:/12148/bd6t54204716s,https://gallica.bnf.fr/ark:/12148/bd6t54204716s.texteBrut,ark:/12148/bd6t54204716s,1924-04-12
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960041,19 avril 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960041,https://gallica.bnf.fr/ark:/12148/bd6t541960041.texteBrut,ark:/12148/bd6t541960041,1924-04-19
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196005f,26 avril 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196005f,https://gallica.bnf.fr/ark:/12148/bd6t54196005f.texteBrut,ark:/12148/bd6t54196005f,1924-04-26
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196006v,03 mai 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196006v,https://gallica.bnf.fr/ark:/12148/bd6t54196006v.texteBrut,ark:/12148/bd6t54196006v,1924-05-03
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196047s,10 mai 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196047s,https://gallica.bnf.fr/ark:/12148/bd6t54196047s.texteBrut,ark:/12148/bd6t54196047s,1924-05-10
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960078,17 mai 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960078,https://gallica.bnf.fr/ark:/12148/bd6t541960078.texteBrut,ark:/12148/bd6t541960078,1924-05-17
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54204761m,24 mai 1924,https://gallica.bnf.fr/ark:/12148/bd6t54204761m,https://gallica.bnf.fr/ark:/12148/bd6t54204761m.texteBrut,ark:/12148/bd6t54204761m,1924-05-24
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196008p,31 mai 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196008p,https://gallica.bnf.fr/ark:/12148/bd6t54196008p.texteBrut,ark:/12148/bd6t54196008p,1924-05-31
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t542047176,07 juin 1924,https://gallica.bnf.fr/ark:/12148/bd6t542047176,https://gallica.bnf.fr/ark:/12148/bd6t542047176.texteBrut,ark:/12148/bd6t542047176,1924-06-07
